subject,experiment,session,localization,montage,system_version,multiple_eegfiles,eegfile,sources_samples,eeg_samples,sources_samplerate,eeg_samplerate,equal_samples,close_samples,factor_2
FBG490,EFRCourierOpenLoop,0,0,0,4.0,False,FBG490_EFRCourierOpenLoop_0_30Nov22_1330,7362000,7362000,2000.0,2000.0,True,True,False
FBG490,EFRCourierOpenLoop,1,0,0,4.0,False,FBG490_EFRCourierOpenLoop_1_01Dec22_1120,7898000,7898000,2000.0,2000.0,True,True,False
FBG490,EFRCourierOpenLoop,2,0,0,4.0,False,FBG490_EFRCourierOpenLoop_2_01Dec22_1649,6548000,6548000,2000.0,2000.0,True,True,False
FBG490,EFRCourierReadOnly,0,0,0,4.0,False,FBG490_EFRCourierReadOnly_0_30Nov22_1019,12040000,12040000,2000.0,2000.0,True,True,False
FBG491,EFRCourierOpenLoop,1,0,0,4.0,False,FBG491_EFRCourierOpenLoop_1_10Feb23_1106,9792000,9792000,2000.0,2000.0,True,True,False
FBG491,EFRCourierOpenLoop,2,0,0,4.0,False,FBG491_EFRCourierOpenLoop_2_13Feb23_1438,12460000,12460000,2000.0,2000.0,True,True,False
R1001P,FR1,0,0,0,,False,R1001P_FR1_0_12Oct14_1034,2349060,2349060,500.0,500.0,True,True,False
R1001P,FR1,1,0,0,,False,R1001P_FR1_1_13Oct14_1457,1535100,1535100,500.0,500.0,True,True,False
R1001P,FR2,0,0,0,,False,R1001P_FR2_0_16Oct14_1054,2432122,2432122,500.0,500.0,True,True,False
R1001P,FR2,1,0,0,,False,R1001P_FR2_1_17Oct14_1434,2135098,2135098,500.0,500.0,True,True,False
R1001P,PAL1,0,0,0,,False,R1001P_PAL1_0_12Oct14_1440,1823080,1823080,500.0,500.0,True,True,False
R1001P,PAL1,1,0,0,,False,R1001P_PAL1_1_14Oct14_1621,1454180,1454180,500.0,500.0,True,True,False
R1001P,YC1,0,0,0,,False,R1001P_YC1_0_20Oct14_1521,1449182,1449182,500.0,500.0,True,True,False
R1001P,YC1,1,0,0,,False,R1001P_YC1_1_21Oct14_1116,1124074,1124074,500.0,500.0,True,True,False
R1001P,YC1,2,0,0,,False,R1001P_YC1_2_25Oct14_1436,1422050,1422050,500.0,500.0,True,True,False
R1002P,FR1,0,0,0,,False,R1002P_FR1_0_15Nov14_1049,1532006,1532006,500.0,500.0,True,True,False
R1002P,FR1,1,0,0,,False,R1002P_FR1_1_16Nov14_1530,1794044,1794044,500.0,500.0,True,True,False
R1002P,FR2,0,0,0,,False,R1002P_FR2_0_19Nov14_1458,1736210,1736210,500.0,500.0,True,True,False
