subject,subject_alias,experiment,original_experiment,session,original_session,system_version
FR240,,pyFR,,0,,1.0
FR240,,pyFR,,2,,1.0
CP001,,pyFR,,1,,1.0
CP001,,pyFR,,2,,1.0
CP001,,pyFR,,3,,1.0
CP001,,pyFR,,4,,1.0
BW001,,pyFR,,1,,1.0
FR025,,pyFR,,1,,1.0
BW013,,pyFR,,1,,1.0
FR029,,pyFR,,1,,1.0
BW014,,pyFR,,1,,1.0
BW014,,pyFR,,2,,1.0
BW014,,pyFR,,3,,1.0
FR060,,pyFR,,1,,1.0
BW022,,pyFR,,1,,1.0
BW022,,pyFR,,2,,1.0
BW023,,pyFR,,1,,1.0
BW023,,pyFR,,2,,1.0
FR070,,pyFR,,1,,1.0
BW024,,pyFR,,1,,1.0
BW024,,pyFR,,2,,1.0
FR080,,pyFR,,1,,1.0
BW025,,pyFR,,1,,1.0
BW025,,pyFR,,2,,1.0
BW025,,pyFR,,3,,1.0
FR090,,pyFR,,1,,1.0
FR090,,pyFR,,2,,1.0
CH003,,pyFR,,1,,1.0
FR091,,pyFR,,0,,1.0
CH005,,pyFR,,1,,1.0
FR100,,pyFR,,1,,1.0
CH008b,,pyFR,,1,,1.0
CH008b,,pyFR,,2,,1.0
CH008b,,pyFR,,3,,1.0
FR110,,pyFR,,1,,1.0
CH012,,pyFR,,1,,1.0
CH012,,pyFR,,2,,1.0
CH012,,pyFR,,3,,1.0
FR120,,pyFR,,1,,1.0
CH013,,pyFR,,1,,1.0
FR130,,pyFR,,1,,1.0
CH018,,pyFR,,1,,1.0
CH018,,pyFR,,2,,1.0
FR140,,pyFR,,1,,1.0
FR140,,pyFR,,2,,1.0
FR140,,pyFR,,3,,1.0
FR140,,pyFR,,4,,1.0
CH040,,pyFR,,1,,1.0
FR150,,pyFR,,1,,1.0
CH042,,pyFR,,1,,1.0
CH042,,pyFR,,2,,1.0
FR160,,pyFR,,1,,1.0
CH046,,pyFR,,1,,1.0
FR170,,pyFR,,1,,1.0
CH048,,pyFR,,1,,1.0
CH048,,pyFR,,2,,1.0
CH048,,pyFR,,3,,1.0
CH048,,pyFR,,4,,1.0
FR180,,pyFR,,1,,1.0
FR180,,pyFR,,2,,1.0
CH058,,pyFR,,1,,1.0
CH058,,pyFR,,2,,1.0
FR190,,pyFR,,1,,1.0
FR190,,pyFR,,2,,1.0
FR190,,pyFR,,3,,1.0
FR190,,pyFR,,4,,1.0
CH061,,pyFR,,1,,1.0
CH061,,pyFR,,2,,1.0
CH061,,pyFR,,3,,1.0
FR200,,pyFR,,0,,1.0
FR200,,pyFR,,1,,1.0
CH063,,pyFR,,1,,1.0
CH063,,pyFR,,2,,1.0
CH065,,pyFR,,1,,1.0
CH065,,pyFR,,2,,1.0
FR210,,pyFR,,0,,1.0
CH066,,pyFR,,1,,1.0
CH067,,pyFR,,1,,1.0
CH067,,pyFR,,2,,1.0
FR220,,pyFR,,0,,1.0
CH068,,pyFR,,1,,1.0
CH068,,pyFR,,2,,1.0
CH068,,pyFR,,3,,1.0
CH068,,pyFR,,4,,1.0
FR032,,pyFR,,1,,1.0
FR230,,pyFR,,0,,1.0
FR037,,pyFR,,1,,1.0
FR038,,pyFR,,1,,1.0
FR050,,pyFR,,1,,1.0
FR250,,pyFR,,0,,1.0
FR250,,pyFR,,2,,1.0
FR250,,pyFR,,3,,1.0
FR250,,pyFR,,4,,1.0
FR250,,pyFR,,5,,1.0
FR260,,pyFR,,0,,1.0
FR270,,pyFR,,0,,1.0
FR270,,pyFR,,1,,1.0
FR280,,pyFR,,0,,1.0
FR290,,pyFR,,1,,1.0
FZ001,,pyFR,,0,,1.0
FZ002,,pyFR,,0,,1.0
FZ003,,pyFR,,0,,1.0
FZ004,,pyFR,,0,,1.0
FZ005,,pyFR,,0,,1.0
FZ006,,pyFR,,0,,1.0
FZ007,,pyFR,,0,,1.0
FZ008,,pyFR,,0,,1.0
FZ009,,pyFR,,0,,1.0
TJ001,,pyFR,,0,,1.0
TJ001,,pyFR,,1,,1.0
TJ001,,pyFR,,2,,1.0
TJ003,,pyFR,,0,,1.0
TJ003,,pyFR,,1,,1.0
TJ003,,pyFR,,2,,1.0
TJ003,,pyFR,,3,,1.0
TJ004,,pyFR,,0,,1.0
TJ005,,pyFR,,0,,1.0
TJ005,,pyFR,,1,,1.0
TJ005,,pyFR,,2,,1.0
TJ005,,pyFR,,3,,1.0
TJ005,,pyFR,,4,,1.0
TJ005,,pyFR,,5,,1.0
TJ005,,pyFR,,6,,1.0
TJ005,,pyFR,,0,,1.0
TJ005,,pyFR,,1,,1.0
TJ005,,pyFR,,2,,1.0
TJ006,,pyFR,,0,,1.0
TJ010,,pyFR,,0,,1.0
TJ011,,pyFR,,0,,1.0
TJ013,,pyFR,,0,,1.0
TJ013,,pyFR,,1,,1.0
TJ013,,pyFR,,2,,1.0
TJ013,,pyFR,,3,,1.0
TJ015,,pyFR,,0,,1.0
TJ015,,pyFR,,1,,1.0
TJ015,,pyFR,,2,,1.0
TJ016,,pyFR,,0,,1.0
TJ016,,pyFR,,1,,1.0
TJ016,,pyFR,,2,,1.0
TJ017,,pyFR,,0,,1.0
TJ017,,pyFR,,1,,1.0
TJ018,,pyFR,,0,,1.0
TJ018,,pyFR,,2,,1.0
TJ018,,pyFR,,0,,1.0
TJ019,,pyFR,,0,,1.0
TJ019,,pyFR,,1,,1.0
TJ020,,pyFR,,0,,1.0
TJ020,,pyFR,,1,,1.0
TJ020,,pyFR,,2,,1.0
TJ020,,pyFR,,3,,1.0
TJ021,,pyFR,,0,,1.0
TJ022,,pyFR,,0,,1.0
TJ022,,pyFR,,1,,1.0
TJ022,,pyFR,,2,,1.0
TJ024,,pyFR,,0,,1.0
TJ024,,pyFR,,1,,1.0
TJ024,,pyFR,,2,,1.0
TJ024,,pyFR,,3,,1.0
TJ025,,pyFR,,0,,1.0
TJ025,,pyFR,,1,,1.0
TJ025,,pyFR,,2,,1.0
TJ025,,pyFR,,3,,1.0
TJ027,,pyFR,,0,,1.0
TJ027,,pyFR,,1,,1.0
TJ027,,pyFR,,2,,1.0
TJ027,,pyFR,,3,,1.0
