subject,subject_alias,experiment,original_experiment,session,original_session,error
TJ055,nan,pyFR,nan,1,nan,Unable to locate behavioral sync pulse log
TJ083,nan,pyFR,nan,0,nan,Unable to locate behavioral sync pulse log
R1047D,R1047D,YC1,nan,0,0.0,Alignment window too small
R1060M,R1060M,PS2,PS,0,5.0,Alignment window too small
R1069M,R1069M,FR2,nan,0,0.0,Alignment window too small
R1106M,R1106M,YC1,nan,0,1.0,Alignment window too small
R1112M,R1112M,PS2,PS,0,1.0,Alignment window too small
R1112M,R1112M,PS2,PS,1,6.0,Alignment window too small
R1112M,R1112M,PS2,PS,2,7.0,Alignment window too small
R1112M,R1112M,PS2,PS,5,17.0,Alignment window too small
R1112M,R1112M,PS3,PS,0,10.0,Alignment window too small
R1112M,R1112M,PS3,PS,1,11.0,Alignment window too small
R1112M,R1112M,PS3,PS,2,12.0,Alignment window too small
R1112M,R1112M,PS3,PS,3,13.0,Alignment window too small
R1112M,R1112M,PS3,PS,4,15.0,Alignment window too small
R1112M,R1112M,PS3,PS,5,18.0,Alignment window too small
R1121M,R1121M,FR1,nan,1,nan,Alignment window too small
R1121M,R1121M,FR1,nan,2,nan,Alignment window too small
R1121M,R1121M,PAL1,nan,1,1.0,Alignment window too small
R1122E,R1122E,PS2,PS,0,1.0,Alignment window too small
R1122E,R1122E,PS2,PS,1,3.0,Alignment window too small
R1129D,R1129D,PS2,PS,4,4.0,Alignment window too small
R1134T,R1134T,PS2,PS,0,1.0,Alignment window too small
R1177M,R1177M,PS2,PS,1,8.0,Alignment window too small
