subject,subject_alias,experiment,original_experiment,session,original_session
FR240,,pyFR,,0,
FR240,,pyFR,,2,
CP001,,pyFR,,1,
CP001,,pyFR,,2,
CP001,,pyFR,,3,
CP001,,pyFR,,4,
BW001,,pyFR,,1,
FR025,,pyFR,,1,
BW013,,pyFR,,1,
FR029,,pyFR,,1,
BW014,,pyFR,,1,
BW014,,pyFR,,2,
BW014,,pyFR,,3,
FR060,,pyFR,,1,
BW022,,pyFR,,1,
BW022,,pyFR,,2,
BW023,,pyFR,,1,
BW023,,pyFR,,2,
FR070,,pyFR,,1,
BW024,,pyFR,,1,
BW024,,pyFR,,2,
FR080,,pyFR,,1,
BW025,,pyFR,,1,
BW025,,pyFR,,2,
BW025,,pyFR,,3,
FR090,,pyFR,,1,
FR090,,pyFR,,2,
CH003,,pyFR,,1,
FR091,,pyFR,,0,
CH005,,pyFR,,1,
FR100,,pyFR,,1,
CH008b,,pyFR,,1,
CH008b,,pyFR,,2,
CH008b,,pyFR,,3,
FR110,,pyFR,,1,
CH012,,pyFR,,1,
CH012,,pyFR,,2,
CH012,,pyFR,,3,
FR120,,pyFR,,1,
CH013,,pyFR,,1,
FR130,,pyFR,,1,
CH018,,pyFR,,1,
CH018,,pyFR,,2,
FR140,,pyFR,,1,
FR140,,pyFR,,2,
FR140,,pyFR,,3,
FR140,,pyFR,,4,
CH040,,pyFR,,1,
FR150,,pyFR,,1,
CH042,,pyFR,,1,
CH042,,pyFR,,2,
FR160,,pyFR,,1,
CH046,,pyFR,,1,
FR170,,pyFR,,1,
CH048,,pyFR,,1,
CH048,,pyFR,,2,
CH048,,pyFR,,3,
CH048,,pyFR,,4,
FR180,,pyFR,,1,
FR180,,pyFR,,2,
CH058,,pyFR,,1,
CH058,,pyFR,,2,
FR190,,pyFR,,1,
FR190,,pyFR,,2,
FR190,,pyFR,,3,
FR190,,pyFR,,4,
CH061,,pyFR,,1,
CH061,,pyFR,,2,
CH061,,pyFR,,3,
FR200,,pyFR,,0,
FR200,,pyFR,,1,
CH063,,pyFR,,1,
CH063,,pyFR,,2,
CH065,,pyFR,,1,
CH065,,pyFR,,2,
FR210,,pyFR,,0,
CH066,,pyFR,,1,
CH067,,pyFR,,1,
CH067,,pyFR,,2,
FR220,,pyFR,,0,
CH068,,pyFR,,1,
CH068,,pyFR,,2,
CH068,,pyFR,,3,
CH068,,pyFR,,4,
FR032,,pyFR,,1,
FR230,,pyFR,,0,
FR037,,pyFR,,1,
FR038,,pyFR,,1,
FR050,,pyFR,,1,
FR250,,pyFR,,0,
FR250,,pyFR,,2,
FR250,,pyFR,,3,
FR250,,pyFR,,4,
FR250,,pyFR,,5,
FR260,,pyFR,,0,
FR270,,pyFR,,0,
FR270,,pyFR,,1,
FR280,,pyFR,,0,
FR290,,pyFR,,1,
FZ001,,pyFR,,0,
FZ002,,pyFR,,0,
FZ003,,pyFR,,0,
FZ004,,pyFR,,0,
FZ005,,pyFR,,0,
FZ006,,pyFR,,0,
FZ007,,pyFR,,0,
FZ008,,pyFR,,0,
FZ009,,pyFR,,0,
TJ001,,pyFR,,0,
TJ001,,pyFR,,1,
TJ001,,pyFR,,2,
TJ003,,pyFR,,0,
TJ003,,pyFR,,1,
TJ003,,pyFR,,2,
TJ003,,pyFR,,3,
TJ004,,pyFR,,0,
TJ005,,pyFR,,0,
TJ005,,pyFR,,1,
TJ005,,pyFR,,2,
TJ005,,pyFR,,3,
TJ005,,pyFR,,4,
TJ005,,pyFR,,5,
TJ005,,pyFR,,6,
TJ005,,pyFR,,0,
TJ005,,pyFR,,1,
TJ005,,pyFR,,2,
TJ006,,pyFR,,0,
TJ010,,pyFR,,0,
TJ011,,pyFR,,0,
TJ013,,pyFR,,0,
TJ013,,pyFR,,1,
TJ013,,pyFR,,2,
TJ013,,pyFR,,3,
TJ015,,pyFR,,0,
TJ015,,pyFR,,1,
TJ015,,pyFR,,2,
TJ016,,pyFR,,0,
TJ016,,pyFR,,1,
TJ016,,pyFR,,2,
TJ017,,pyFR,,0,
TJ017,,pyFR,,1,
TJ018,,pyFR,,0,
TJ018,,pyFR,,2,
TJ018,,pyFR,,0,
TJ019,,pyFR,,0,
TJ019,,pyFR,,1,
TJ020,,pyFR,,0,
TJ020,,pyFR,,1,
TJ020,,pyFR,,2,
TJ020,,pyFR,,3,
TJ021,,pyFR,,0,
TJ022,,pyFR,,0,
TJ022,,pyFR,,1,
TJ022,,pyFR,,2,
TJ024,,pyFR,,0,
TJ024,,pyFR,,1,
TJ024,,pyFR,,2,
TJ024,,pyFR,,3,
TJ025,,pyFR,,0,
TJ025,,pyFR,,1,
TJ025,,pyFR,,2,
TJ025,,pyFR,,3,
TJ027,,pyFR,,0,
TJ027,,pyFR,,1,
TJ027,,pyFR,,2,
TJ027,,pyFR,,3,
TJ028,,pyFR,,0,
TJ028,,pyFR,,1,
TJ029,,pyFR,,0,
TJ029,,pyFR,,1,
TJ029,,pyFR,,2,
TJ030,,pyFR,,0,
TJ030,,pyFR,,1,
TJ030,,pyFR,,2,
TJ030,,pyFR,,3,
TJ031,,pyFR,,0,
TJ031,,pyFR,,1,
TJ031,,pyFR,,2,
TJ031,,pyFR,,3,
TJ032,,pyFR,,0,
TJ032,,pyFR,,1,
TJ032,,pyFR,,2,
TJ032,,pyFR,,3,
TJ033,,pyFR,,0,
TJ033,,pyFR,,1,
TJ034,,pyFR,,0,
TJ034,,pyFR,,1,
TJ035,,pyFR,,0,
TJ035,,pyFR,,1,
TJ036,,pyFR,,0,
TJ036,,pyFR,,1,
TJ037,,pyFR,,0,
TJ037,,pyFR,,1,
TJ037,,pyFR,,2,
TJ038,,pyFR,,0,
TJ038,,pyFR,,1,
TJ038,,pyFR,,2,
TJ038,,pyFR,,0,
TJ038,,pyFR,,1,
TJ039,,pyFR,,0,
TJ039,,pyFR,,1,
TJ039,,pyFR,,2,
TJ039,,pyFR,,3,
TJ039,,pyFR,,4,
TJ039,,pyFR,,5,
TJ039,,pyFR,,6,
TJ039,,pyFR,,7,
TJ040,,pyFR,,0,
TJ040,,pyFR,,0,
TJ041,,pyFR,,0,
TJ041,,pyFR,,1,
TJ041,,pyFR,,2,
TJ041,,pyFR,,3,
TJ041,,pyFR,,0,
TJ041,,pyFR,,1,
TJ041,,pyFR,,2,
TJ041,,pyFR,,3,
TJ041,,pyFR,,4,
TJ042,,pyFR,,0,
TJ042,,pyFR,,1,
TJ042,,pyFR,,2,
TJ043,,pyFR,,0,
TJ043,,pyFR,,1,
TJ043,,pyFR,,2,
TJ044,,pyFR,,0,
TJ044,,pyFR,,1,
TJ045,,pyFR,,1,
TJ045,,pyFR,,2,
TJ047,,pyFR,,0,
TJ047,,pyFR,,1,
TJ047,,pyFR,,2,
TJ048,,pyFR,,0,
TJ048,,pyFR,,1,
TJ048,,pyFR,,2,
TJ049,,pyFR,,0,
