subject,subject_alias,experiment,original_experiment,session,original_session,error
R1544E,R1544E,DBOY1,,0,,High residual standard deviation
R1593D,R1593D,RepFR1,,1,,High residual standard deviation
TJ055,,pyFR,,1,,Unable to locate behavioral sync pulse log
TJ083,,pyFR,,0,,Unable to locate behavioral sync pulse log
R1047D,R1047D,YC1,,0,0.0,Alignment window too small
R1060M,R1060M,PS2,PS,0,5.0,Alignment window too small
R1069M,R1069M,FR2,,0,0.0,Alignment window too small
R1106M,R1106M,YC1,,0,1.0,Alignment window too small
R1112M,R1112M,PS2,PS,0,1.0,Alignment window too small
R1112M,R1112M,PS2,PS,1,6.0,Alignment window too small
R1112M,R1112M,PS2,PS,2,7.0,Alignment window too small
R1112M,R1112M,PS2,PS,5,17.0,Alignment window too small
R1112M,R1112M,PS3,PS,0,10.0,Alignment window too small
R1112M,R1112M,PS3,PS,1,11.0,Alignment window too small
R1112M,R1112M,PS3,PS,2,12.0,Alignment window too small
R1112M,R1112M,PS3,PS,3,13.0,Alignment window too small
R1112M,R1112M,PS3,PS,4,15.0,Alignment window too small
R1112M,R1112M,PS3,PS,5,18.0,Alignment window too small
R1121M,R1121M,FR1,,1,,Alignment window too small
R1121M,R1121M,FR1,,2,,Alignment window too small
R1121M,R1121M,PAL1,,1,1.0,Alignment window too small
R1122E,R1122E,PS2,PS,0,1.0,Alignment window too small
R1122E,R1122E,PS2,PS,1,3.0,Alignment window too small
R1129D,R1129D,PS2,PS,4,4.0,Alignment window too small
R1134T,R1134T,PS2,PS,0,1.0,Alignment window too small
R1177M,R1177M,PS2,PS,1,8.0,Alignment window too small
FR240,,pyFR,,0,,No found EEG sync log
FR240,,pyFR,,2,,No found EEG sync log
CP001,,pyFR,,1,,No found EEG sync log
CP001,,pyFR,,2,,No found EEG sync log
CP001,,pyFR,,3,,No found EEG sync log
CP001,,pyFR,,4,,No found EEG sync log
BW001,,pyFR,,1,,No found EEG sync log
FR025,,pyFR,,1,,No found EEG sync log
BW013,,pyFR,,1,,No found EEG sync log
FR029,,pyFR,,1,,No found EEG sync log
BW014,,pyFR,,1,,No found EEG sync log
BW014,,pyFR,,2,,No found EEG sync log
BW014,,pyFR,,3,,No found EEG sync log
FR060,,pyFR,,1,,No found EEG sync log
BW022,,pyFR,,1,,No found EEG sync log
BW022,,pyFR,,2,,No found EEG sync log
BW023,,pyFR,,1,,No found EEG sync log
BW023,,pyFR,,2,,No found EEG sync log
FR070,,pyFR,,1,,No found EEG sync log
