subject,experiment,session,sync_txt
R1001P,FR1,0,/data/eeg/R1001P/eeg.noreref/R1001P_12Oct14_1034.062.063.FR1_0.sync.txt
R1001P,FR2,0,/data/eeg/R1001P/eeg.noreref/R1001P_16Oct14_1054.062.063.FR2_0.sync.txt
R1001P,PAL1,0,/data/eeg/R1001P/eeg.noreref/R1001P_12Oct14_1440.062.063.PAL1_0.sync.txt
R1001P,FR1,1,/data/eeg/R1001P/eeg.noreref/R1001P_13Oct14_1457.062.063.FR1_1.sync.txt
R1001P,PAL1,1,/data/eeg/R1001P/eeg.noreref/R1001P_14Oct14_1621.062.063.PAL1_1.sync.txt
R1001P,FR2,1,/data/eeg/R1001P/eeg.noreref/R1001P_17Oct14_1434.062.063.FR2_1.sync.txt
R1001P,YC1,2,/data/eeg/R1001P/eeg.noreref/R1001P_25Oct14_1436.062.063.YC1_2.sync.txt
R1002P,FR1,0,/data/eeg/R1002P/eeg.noreref/R1002P_15Nov14_1049.078.079.FR1_0.sync.txt
R1002P,PAL1,2,/data/eeg/R1002P/eeg.noreref/R1002P_22Nov14_1256.078.079.PAL1_2.sync.txt
R1002P,FR1,1,/data/eeg/R1002P/eeg.noreref/R1002P_16Nov14_1530.078.079.FR1_1.sync.txt
R1002P,PAL1,0,/data/eeg/R1002P/eeg.noreref/R1002P_17Nov14_1117.078.079.PAL1_0.sync.txt
R1002P,PAL1,1,/data/eeg/R1002P/eeg.noreref/R1002P_18Nov14_1008.078.079.PAL1_1.sync.txt
R1002P,FR2,0,/data/eeg/R1002P/eeg.noreref/R1002P_19Nov14_1458.078.079.FR2_0.sync.txt
R1002P,FR2,1,/data/eeg/R1002P/eeg.noreref/R1002P_21Nov14_1359.078.079.FR2_1.sync.txt
R1002P,FR2,2,/data/eeg/R1002P/eeg.noreref/R1002P_24Nov14_1603.078.079.FR2_2.sync.txt
R1003P,PAL1,0,/data/eeg/R1003P/eeg.noreref/R1003P_16Nov14_1127.105.106.PAL1_0.sync.txt
R1003P,PAL1,1,/data/eeg/R1003P/eeg.noreref/R1003P_18Nov14_1420.105.106.PAL1_1.sync.txt
R1003P,FR1,0,/data/eeg/R1003P/eeg.noreref/R1003P_19Nov14_1613.105.106.FR1_0.sync.txt
R1003P,PAL2,0,/data/eeg/R1003P/eeg.noreref/R1003P_20Nov14_1029.105.106.PAL2_0.sync.txt
R1003P,FR2,0,/data/eeg/R1003P/eeg.noreref/R1003P_25Nov14_1218.105.106.FR2_0.sync.txt
R1003P,PAL2,1,/data/eeg/R1003P/eeg.noreref/R1003P_23Nov14_1317.105.106.PAL2_1.sync.txt
R1003P,FR1,1,/data/eeg/R1003P/eeg.noreref/R1003P_24Nov14_1405.105.106.FR1_1.sync.txt
R1004D,catFR1,0,/data/eeg/R1004D/eeg.noreref/R1004D_11Nov14_1100.134.catFR1_0.sync.txt
R1006P,YC1,0,/data/eeg/R1006P/eeg.noreref/R1006P_06Feb15_1353.072.129.YC1_0.sync.txt
R1006P,YC1,1,/data/eeg/R1006P/eeg.noreref/R1006P_08Feb15_1623.072.129.YC1_1.sync.txt
R1006P,YC1,2,/data/eeg/R1006P/eeg.noreref/R1006P_09Feb15_1438.072.129.YC1_2.sync.txt
R1006P,YC2,0,/data/eeg/R1006P/eeg.noreref/R1006P_10Feb15_1404.072.129.YC2_0.sync.txt
R1006P,YC2,1,/data/eeg/R1006P/eeg.noreref/R1006P_11Feb15_1005.072.129.YC2_1.sync.txt
R1006P,FR1,0,/data/eeg/R1006P/eeg.noreref/R1006P_11Feb15_1503.072.129.FR1_0.sync.txt
R1006P,FR1,1,/data/eeg/R1006P/eeg.noreref/R1006P_12Feb15_1126.072.129.FR1_1.sync.txt
R1006P,FR2,0,/data/eeg/R1006P/eeg.noreref/R1006P_17Feb15_1505.128.129.FR2_0.sync.txt
R1006P_1,FR2,0,/data/eeg/R1006P_1/eeg.noreref/R1006P_1_17Feb15_1505.128.129.FR2_0.sync.txt
R1006P_1,FR2,1,/data/eeg/R1006P_1/eeg.noreref/R1006P_1_18Feb15_1119.071.128.FR2_1.sync.txt
R1006P_1,YC2,0,/data/eeg/R1006P_1/eeg.noreref/R1006P_1_19Feb15_1508.071.129.YC2_0.sync.txt
R1007D,CatFR1,0,/data/eeg/R1007D/eeg.noreref/R1007D_21Nov14_1403.056.057.CatFR1_0.sync.txt
R1008J,YC1,0,/data/eeg/R1008J/eeg.noreref/R1008J_21Nov14_1037.121.122.YC1_0.sync.txt
R1009W,YC1,0,/data/eeg/R1009W/eeg.noreref/R1009W_23Nov14_1645.090.091.YC1_0.sync.txt
R1010J,YC1,0,/data/eeg/R1010J/eeg.noreref/R1010J_06Dec14_1403.187.188.YC1_0.sync.txt
R1010J,YC1,1,/data/eeg/R1010J/eeg.noreref/R1010J_07Dec14_1350.187.188.YC1_1.sync.txt
R1010J,FR1,0,/data/eeg/R1010J/eeg.noreref/R1010J_08Dec14_1407.187.188.FR1_0.sync.txt
R1010J,FR1,1,/data/eeg/R1010J/eeg.noreref/R1010J_09Dec14_1345.187.188.FR1_1.sync.txt
R1013E,YC1,0,/data/eeg/R1013E/eeg.noreref/R1013E_17Dec14_1749.128.129.YC1_0.sync.txt
R1013E_1,YC1,0,/data/eeg/R1013E_1/eeg.noreref/R1013E_1_18Dec14_1410.128.129.YC1_0.sync.txt
R1013E_1,catFR1,0,/data/eeg/R1013E_1/eeg.noreref/R1013E_1_19Dec14_1223.128.129.catFR1_0.sync.txt
R1013E_1,catFR1,1,/data/eeg/R1013E_1/eeg.noreref/R1013E_1_19Dec14_1713.128.129.catFR1_1.sync.txt
R1013E_1,YC2,0,/data/eeg/R1013E_1/eeg.noreref/R1013E_1_20Dec14_0958.128.129.YC2_0.sync.txt
R1013E_1,YC2,1,/data/eeg/R1013E_1/eeg.noreref/R1013E_1_21Dec14_2114.128.129.YC2_1.sync.txt
R1014D,YC1,0,/data/eeg/R1014D/eeg.noreref/R1014D_05Jan15_1335.104.YC1_0.sync.txt
R1014D,YC1,1,/data/eeg/R1014D/eeg.noreref/R1014D_05Jan15_1516.104.YC1_1.sync.txt
R1015J,FR1,0,/data/eeg/R1015J/eeg.noreref/R1015J_10Jan15_1001.181.182.FR1_0.sync.txt
R1015J,YC1,0,/data/eeg/R1015J/eeg.noreref/R1015J_10Jan15_1404.181.182.YC1_0.sync.txt
R1015J,YC1,2,/data/eeg/R1015J/eeg.noreref/R1015J_12Jan15_0835.181.182.YC1_2.sync.txt
R1015J,trackball,0,/data/eeg/R1015J/eeg.noreref/R1015J_12Jan15_1600.181.182.trackball_0.sync.txt
R1015J,trackball,1,/data/eeg/R1015J/eeg.noreref/R1015J_12Jan15_1600.181.182.trackball_1.sync.txt
R1015J,train,0,/data/eeg/R1015J/eeg.noreref/R1015J_12Jan15_1600.181.182.train_0.sync.txt
R1015J,YC2,0,/data/eeg/R1015J/eeg.noreref/R1015J_14Jan15_1026.181.182.YC2_0.sync.txt
R1015J,tones,0,/data/eeg/R1015J/eeg.noreref/R1015J_14Jan15_1637.181.182.tones_0.sync.txt
R1015J,YC2,1,/data/eeg/R1015J/eeg.noreref/R1015J_15Jan15_1100.181.182.YC2_1.sync.txt
R1015J,trackball,2,/data/eeg/R1015J/eeg.noreref/R1015J_15Jan15_1216.181.182.trackball_2.sync.txt
R1015J,YC2,2,/data/eeg/R1015J/eeg.noreref/R1015J_15Jan15_1521.181.182.YC2_2.sync.txt
R1015J,YC2,3,/data/eeg/R1015J/eeg.noreref/R1015J_16Jan15_0950.181.182.YC2_3.sync.txt
R1015J,YC2,4,/data/eeg/R1015J/eeg.noreref/R1015J_16Jan15_1204.181.182.YC2_4.sync.txt
R1015J,tones3,1,/data/eeg/R1015J/eeg.noreref/R1015J_17Jan15_1231.181.182.tones3_1.sync.txt
R1015J,FR1,1,/data/eeg/R1015J/eeg.noreref/R1015J_18Jan15_1050.181.182.FR1_1.sync.txt
R1015J,tones3,2,/data/eeg/R1015J/eeg.noreref/R1015J_18Jan15_1050.181.182.tones3_2.sync.txt
R1015J,trackball,3,/data/eeg/R1015J/eeg.noreref/R1015J_18Jan15_1050.181.182.trackball_3.sync.txt
R1015J,catFR1,0,/data/eeg/R1015J/eeg.noreref/R1015J_18Jan15_1549.181.182.catFR1_0.sync.txt
R1015J,train,1,/data/eeg/R1015J/eeg.noreref/R1015J_18Jan15_1549.181.182.train_1.sync.txt
R1015J,YC2,5,/data/eeg/R1015J/eeg.noreref/R1015J_20Jan15_1243.181.182.YC2_5.sync.txt
R1015J,YC2,6,/data/eeg/R1015J/eeg.noreref/R1015J_20Jan15_1404.181.182.YC2_6.sync.txt
R1016M,PAL2,0,/data/eeg/R1016M/eeg.noreref/R1016M_21Jan15_1104.128.129.PAL2_0.sync.txt
R1016M,catFR1,0,/data/eeg/R1016M/eeg.noreref/R1016M_20Jan15_1032.127.128.catFR1_0.sync.txt
R1016M,PAL1,0,/data/eeg/R1016M/eeg.noreref/R1016M_20Jan15_1451.128.129.PAL1_0.sync.txt
R1016M,catFR1,1,/data/eeg/R1016M/eeg.noreref/R1016M_20Jan15_1937.128.129.catFR1_1.sync.txt
R1016M,catFR1,10,/data/eeg/R1016M/eeg.noreref/R1016M_20Jan15_1937.128.129.catFR1_10.sync.txt
R1016M,FR2,0,/data/eeg/R1016M/eeg.noreref/R1016M_22Jan15_1044.128.129.FR2_0.sync.txt
R1016M,catFR2,0,/data/eeg/R1016M/eeg.noreref/R1016M_21Jan15_1834.128.129.catFR2_0.sync.txt
R1016M,PAL2,1,/data/eeg/R1016M/eeg.noreref/R1016M_21Jan15_2056.128.129.PAL2_1.sync.txt
R1016M,PAL2,2,/data/eeg/R1016M/eeg.noreref/R1016M_22Jan15_1535.128.129.PAL2_2.sync.txt
R1017J,dBoy,0,/data/eeg/R1017J/eeg.noreref/R1017J_19Jan15_1322.159.160.dBoy_0.sync.txt
R1017J,YC2,0,/data/eeg/R1017J/eeg.noreref/R1017J_21Jan15_1200.159.160.YC2_0.sync.txt
R1017J,YC2,1,/data/eeg/R1017J/eeg.noreref/R1017J_22Jan15_1034.159.160.YC2_1.sync.txt
R1017J,YC2,2,/data/eeg/R1017J/eeg.noreref/R1017J_22Jan15_1301.159.160.YC2_2.sync.txt
R1018P,YC1,0,/data/eeg/R1018P/eeg.noreref/R1018P_03Mar15_1258.105.106.YC1_0.sync.txt
R1018P,FR1,0,/data/eeg/R1018P/eeg.noreref/R1018P_04Mar15_1639.105.106.FR1_0.sync.txt
R1018P,FR2,0,/data/eeg/R1018P/eeg.noreref/R1018P_06Mar15_1402.105.106.FR2_0.sync.txt
R1018P_1,PAL1,0,/data/eeg/R1018P_1/eeg.noreref/R1018P_1_13Mar15_1412.121.122.PAL1_0.sync.txt
R1018P_1,motormap,0,/data/eeg/R1018P_1/eeg.noreref/R1018P_1_13Mar15_1412.121.122.motormap_0.sync.txt
R1018P_1,FR2,0,/data/eeg/R1018P_1/eeg.noreref/R1018P_1_14Mar15_1310.121.122.FR2_0.sync.txt
R1018P_1,motormap,1,/data/eeg/R1018P_1/eeg.noreref/R1018P_1_14Mar15_1310.121.122.motormap_1.sync.txt
R1019J,YC1,1,/data/eeg/R1019J/eeg.noreref/R1019J_01Feb15_1355.147.148.YC1_1.sync.txt
R1019J,dBoy,0,/data/eeg/R1019J/eeg.noreref/R1019J_02Feb15_1616.147.148.dBoy_0.sync.txt
R1019J,dBoy,0b,/data/eeg/R1019J/eeg.noreref/R1019J_02Feb15_1616.147.148.dBoy_0b.sync.txt
R1019J,dBoy,1,/data/eeg/R1019J/eeg.noreref/R1019J_03Feb15_1405.147.148.dBoy_1.sync.txt
R1019J,YC1,2,/data/eeg/R1019J/eeg.noreref/R1019J_04Feb15_1521.147.148.YC1_2.sync.txt
R1019J,trackball,0,/data/eeg/R1019J/eeg.noreref/R1019J_04Feb15_1521.147.148.trackball_0.sync.txt
R1019J,dBoy,2,/data/eeg/R1019J/eeg.noreref/R1019J_05Feb15_1611.147.148.dBoy_2.sync.txt
R1019J,dBoy,2b,/data/eeg/R1019J/eeg.noreref/R1019J_05Feb15_1611.147.148.dBoy_2b.sync.txt
R1019J,YC2,0,/data/eeg/R1019J/eeg.noreref/R1019J_06Feb15_1503.147.148.YC2_0.sync.txt
R1019J,YC2,1,/data/eeg/R1019J/eeg.noreref/R1019J_09Feb15_1030.147.148.YC2_1.sync.txt
R1019J,YC2,2,/data/eeg/R1019J/eeg.noreref/R1019J_09Feb15_1437.147.148.YC2_2.sync.txt
R1019J,YC2,3,/data/eeg/R1019J/eeg.noreref/R1019J_10Feb15_1136.147.148.YC2_3.sync.txt
R1019J,YC1,0,/data/eeg/R1019J/eeg.noreref/R1019J_31Jan15_1307.147.148.YC1_0.sync.txt
R1019J,YC2,6,/data/eeg/R1019J/eeg.noreref/R1019J_17Feb15_0925.147.148.YC2_6.sync.txt
R1019J,YC2,5,/data/eeg/R1019J/eeg.noreref/R1019J_16Feb15_1430.147.148.YC2_5.sync.txt
R1019J,train,3,/data/eeg/R1019J/eeg.noreref/R1019J_15Feb15_1111.147.148.train_3.sync.txt
R1019J,train,2,/data/eeg/R1019J/eeg.noreref/R1019J_14Feb15_1340.147.148.train_2.sync.txt
R1019J,train,1,/data/eeg/R1019J/eeg.noreref/R1019J_13Feb15_1029.147.148.train_1.sync.txt
R1019J,YC2,4,/data/eeg/R1019J/eeg.noreref/R1019J_10Feb15_1446.147.148.YC2_4.sync.txt
R1019J,train,0,/data/eeg/R1019J/eeg.noreref/R1019J_11Feb15_1506.147.148.train_0.sync.txt
R1021D,YC1,0,/data/eeg/R1021D/eeg.noreref/R1021D_05Feb15_1025.080.081.YC1_0.sync.txt
R1021D,YC2,0,/data/eeg/R1021D/eeg.noreref/R1021D_06Feb15_1250.080.081.YC2_0.sync.txt
R1021D,YC2,1,/data/eeg/R1021D/eeg.noreref/R1021D_07Feb15_1515.082.083.YC2_1.sync.txt
R1021D,catFR1,0,/data/eeg/R1021D/eeg.noreref/R1021D_09Feb15_1434.082.083.catFR1_0.sync.txt
R1022J,FR1,0,/data/eeg/R1022J/eeg.noreref/R1022J_07Feb15_1008.107.108.FR1_0.sync.txt
R1022J,FR2,1,/data/eeg/R1022J/eeg.noreref/R1022J_12Feb15_1323.107.108.FR2_1.sync.txt
R1022J,FR2,0,/data/eeg/R1022J/eeg.noreref/R1022J_11Feb15_1031.107.108.FR2_0.sync.txt
R1023J,FR2,0,/data/eeg/R1023J/eeg.noreref/R1023J_03Mar15_1026.139.140.FR2_0.sync.txt
R1023J,YC1,1,/data/eeg/R1023J/eeg.noreref/R1023J_01Mar15_1022.139.140.YC1_1.sync.txt
R1023J,YC2,0,/data/eeg/R1023J/eeg.noreref/R1023J_02Mar15_1348.139.140.YC2_0.sync.txt
R1023J,YC2,1,/data/eeg/R1023J/eeg.noreref/R1023J_02Mar15_1528.139.140.YC2_1.sync.txt
R1023J,FR2,1,/data/eeg/R1023J/eeg.noreref/R1023J_03Mar15_1411.139.140.FR2_1.sync.txt
R1023J,YC1,0,/data/eeg/R1023J/eeg.noreref/R1023J_28Feb15_1118.139.140.YC1_0.sync.txt
R1023J,FR1,0,/data/eeg/R1023J/eeg.noreref/R1023J_27Feb15_1337.139.140.FR1_0.sync.txt
R1023J,tones3,2,/data/eeg/R1023J/eeg.noreref/R1023J_08Mar15_1226.139.140.tones3_2.sync.txt
R1023J,tones3,3,/data/eeg/R1023J/eeg.noreref/R1023J_08Mar15_1226.139.140.tones3_3.sync.txt
R1023J,trackball,0,/data/eeg/R1023J/eeg.noreref/R1023J_08Mar15_1226.139.140.trackball_0.sync.txt
R1023J,trackball,1,/data/eeg/R1023J/eeg.noreref/R1023J_08Mar15_1226.139.140.trackball_1.sync.txt
R1023J,tones,0,/data/eeg/R1023J/eeg.noreref/R1023J_05Mar15_1421.139.140.tones_0.sync.txt
R1023J,tones,1,/data/eeg/R1023J/eeg.noreref/R1023J_05Mar15_1421.139.140.tones_1.sync.txt
R1023J,PAL1,0,/data/eeg/R1023J/eeg.noreref/R1023J_07Mar15_1115.139.140.PAL1_0.sync.txt
R1024E,YC1,0,/data/eeg/R1024E/eeg.noreref/R1024E_23Feb15_1541.128.129.YC1_0.sync.txt
R1024E,YC2,0,/data/eeg/R1024E/eeg.noreref/R1024E_24Feb15_1526.128.129.YC2_0.sync.txt
R1024E,YC2,1,/data/eeg/R1024E/eeg.noreref/R1024E_24Feb15_1824.128.129.YC2_1.sync.txt
R1024E_1,catFR2,1,/data/eeg/R1024E_1/eeg.noreref/R1024E_1_01Mar15_0941.128.129.catFR2_1.sync.txt
R1024E_1,YC2,0,/data/eeg/R1024E_1/eeg.noreref/R1024E_1_01Mar15_1238.128.129.YC2_0.sync.txt
R1024E_1,catFR1,0,/data/eeg/R1024E_1/eeg.noreref/R1024E_1_27Feb15_1520.128.129.catFR1_0.sync.txt
R1024E_1,catFR2,0,/data/eeg/R1024E_1/eeg.noreref/R1024E_1_28Feb15_1542.128.129.catFR2_0.sync.txt
R1024E_1,YC1,0,/data/eeg/R1024E_1/eeg.noreref/R1024E_1_28Feb15_1726.128.129.YC1_0.sync.txt
R1024E_2,YC2,0,/data/eeg/R1024E_2/eeg.noreref/R1024E_2_02Mar15_1545.128.129.YC2_0.sync.txt
R1024E_2,FR2,0,/data/eeg/R1024E_2/eeg.noreref/R1024E_2_03Mar15_1345.128.129.FR2_0.sync.txt
R1024E_2,FR2,1,/data/eeg/R1024E_2/eeg.noreref/R1024E_2_03Mar15_1547.128.129.FR2_1.sync.txt
R1025P,PS,0,/data/eeg/R1025P/eeg.noreref/R1025P_01Jul15_1438.128.129.PS_0.sync.txt
R1025P,PS,1,/data/eeg/R1025P/eeg.noreref/R1025P_01Jul15_1438.128.129.PS_1.sync.txt
R1025P,PS1,0,/data/eeg/R1025P/eeg.noreref/R1025P_01Jul15_1438.128.129.PS1_0.sync.txt
R1025P,YC1,0,/data/eeg/R1025P/eeg.noreref/R1025P_03Jul15_1309.128.129.YC1_0.sync.txt
R1026D,catFR1,0,/data/eeg/R1026D/eeg.noreref/R1026D_18Feb15_1348.074.075.catFR1_0.sync.txt
R1026D,catFR2,0,/data/eeg/R1026D/eeg.noreref/R1026D_19Feb15_1507.074.075.catFR2_0.sync.txt
R1026D,catFR2,1,/data/eeg/R1026D/eeg.noreref/R1026D_23Feb15_1241.074.075.catFR2_1.sync.txt
R1026D,FR2,0,/data/eeg/R1026D/eeg.noreref/R1026D_20Feb15_1835.074.075.FR2_0.sync.txt
R1026D,FR2,1,/data/eeg/R1026D/eeg.noreref/R1026D_21Feb15_1007.074.075.FR2_1.sync.txt
R1026D,FR1,0,/data/eeg/R1026D/eeg.noreref/R1026D_22Feb15_0908.074.075.FR1_0.sync.txt
R1026D,YC1,0,/data/eeg/R1026D/eeg.noreref/R1026D_23Feb15_1336.074.075.YC1_0.sync.txt
R1026D,YC2,0,/data/eeg/R1026D/eeg.noreref/R1026D_24Feb15_1018.074.075.YC2_0.sync.txt
R1026D,catFR2,2,/data/eeg/R1026D/eeg.noreref/R1026D_24Feb15_0905.074.075.catFR2_2.sync.txt
R1026D,YC2,1,/data/eeg/R1026D/eeg.noreref/R1026D_26Feb15_0945.074.075.YC2_1.sync.txt
R1027J,dBoy,1,/data/eeg/R1027J/eeg.noreref/R1027J_01Mar15_1357.159.160.dBoy_1.sync.txt
R1027J,train,0,/data/eeg/R1027J/eeg.noreref/R1027J_02Mar15_1610.159.160.train_0.sync.txt
R1027J,train,1,/data/eeg/R1027J/eeg.noreref/R1027J_03Mar15_1148.159.160.train_1.sync.txt
R1027J,FR1,0,/data/eeg/R1027J/eeg.noreref/R1027J_03Mar15_1545.159.160.FR1_0.sync.txt
R1027J,FR2,0,/data/eeg/R1027J/eeg.noreref/R1027J_04Mar15_1001.159.160.FR2_0.sync.txt
R1027J,FR2,1,/data/eeg/R1027J/eeg.noreref/R1027J_05Mar15_1026.159.160.FR2_1.sync.txt
R1027J,YC2,0,/data/eeg/R1027J/eeg.noreref/R1027J_06Mar15_1014.159.160.YC2_0.sync.txt
R1027J,YC2,1,/data/eeg/R1027J/eeg.noreref/R1027J_06Mar15_1406.159.160.YC2_1.sync.txt
R1027J,train,2,/data/eeg/R1027J/eeg.noreref/R1027J_08Mar15_1613.159.160.train_2.sync.txt
R1027J,FR2,2,/data/eeg/R1027J/eeg.noreref/R1027J_09Mar15_1100.159.160.FR2_2.sync.txt
R1027J,YC2,2,/data/eeg/R1027J/eeg.noreref/R1027J_10Mar15_0955.159.160.YC2_2.sync.txt
R1027J,YC2,3,/data/eeg/R1027J/eeg.noreref/R1027J_10Mar15_1151.159.160.YC2_3.sync.txt
R1027J,dBoy,0,/data/eeg/R1027J/eeg.noreref/R1027J_28Feb15_1516.159.160.dBoy_0.sync.txt
R1028M,FR2,0,/data/eeg/R1028M/eeg.noreref/R1028M_01Mar15_1252.066.067.FR2_0.sync.txt
R1028M,PAL2,0,/data/eeg/R1028M/eeg.noreref/R1028M_01Mar15_1816.066.067.PAL2_0.sync.txt
R1028M,FR2,1,/data/eeg/R1028M/eeg.noreref/R1028M_02Mar15_1152.066.067.FR2_1.sync.txt
R1028M,catFR2,0,/data/eeg/R1028M/eeg.noreref/R1028M_02Mar15_1809.066.067.catFR2_0.sync.txt
