subject,subject_alias,experiment,original_experiment,session,original_session,trial,beep_time,vr_s1,session_log,session_json,session_jsonl
R1001P,R1001P,FR1,X,0,0,0,0.0233,False,True,False,False
R1001P,R1001P,FR1,X,0,0,1,0.0245,False,True,False,False
R1001P,R1001P,FR1,X,0,0,2,0.0233,False,True,False,False
R1001P,R1001P,FR1,X,0,0,3,0.0227,False,True,False,False
R1001P,R1001P,FR1,X,0,0,4,0.0235,False,True,False,False
R1001P,R1001P,FR1,X,0,0,5,0.0227,False,True,False,False
R1001P,R1001P,FR1,X,1,1,0,0.0687,False,True,False,False
R1001P,R1001P,FR1,X,1,1,1,0.0656,False,True,False,False
R1001P,R1001P,FR1,X,1,1,2,0.0712,False,True,False,False
R1001P,R1001P,FR1,X,1,1,3,0.0724,False,True,False,False
R1001P,R1001P,FR1,X,1,1,4,0.07,False,True,False,False
R1001P,R1001P,FR1,X,1,1,5,0.0725,False,True,False,False
R1001P,R1001P,FR2,X,0,0,1,0.0748,False,True,False,False
R1001P,R1001P,FR2,X,0,0,2,0.0514,False,True,False,False
R1001P,R1001P,FR2,X,0,0,3,0.0345,False,True,False,False
R1001P,R1001P,FR2,X,0,0,4,0.0221,False,True,False,False
R1001P,R1001P,FR2,X,0,0,5,0.0246,False,True,False,False
R1001P,R1001P,FR2,X,1,1,0,0.0402,False,True,False,False
R1001P,R1001P,FR2,X,1,1,1,0.0278,False,True,False,False
R1001P,R1001P,FR2,X,1,1,2,0.0726,True,True,False,False
R1001P,R1001P,FR2,X,1,1,3,0.0658,False,True,False,False
R1001P,R1001P,FR2,X,1,1,4,0.0417,False,True,False,False
R1001P,R1001P,FR2,X,1,1,5,0.099,False,True,False,False
R1002P,R1002P,FR1,X,0,0,0,0.0319,True,True,False,False
R1002P,R1002P,FR1,X,0,0,1,0.0312,True,True,False,False
R1002P,R1002P,FR1,X,0,0,2,0.0293,False,True,False,False
R1002P,R1002P,FR1,X,0,0,3,0.0536,True,True,False,False
R1002P,R1002P,FR1,X,0,0,4,0.0287,True,True,False,False
R1002P,R1002P,FR1,X,0,0,5,0.0674,False,True,False,False
R1002P,R1002P,FR1,X,1,1,0,0.0384,False,True,False,False
R1002P,R1002P,FR1,X,1,1,1,0.0427,False,True,False,False
R1002P,R1002P,FR1,X,1,1,2,0.044,False,True,False,False
R1002P,R1002P,FR1,X,1,1,3,0.0455,False,True,False,False
R1002P,R1002P,FR1,X,1,1,4,0.044,False,True,False,False
R1002P,R1002P,FR1,X,1,1,5,0.0434,False,True,False,False
R1002P,R1002P,FR2,X,0,0,0,0.0233,False,True,False,False
R1002P,R1002P,FR2,X,0,0,1,0.054,False,True,False,False
R1002P,R1002P,FR2,X,0,0,2,0.0688,False,True,False,False
R1002P,R1002P,FR2,X,0,0,3,0.0507,False,True,False,False
R1002P,R1002P,FR2,X,0,0,4,0.0612,False,True,False,False
R1002P,R1002P,FR2,X,0,0,5,0.0793,False,True,False,False
R1002P,R1002P,FR2,X,1,1,0,0.0227,False,True,False,False
R1002P,R1002P,FR2,X,1,1,1,0.0274,False,True,False,False
R1002P,R1002P,FR2,X,1,1,2,0.0891,False,True,False,False
R1002P,R1002P,FR2,X,1,1,3,0.061,False,True,False,False
R1002P,R1002P,FR2,X,1,1,4,0.1154,False,True,False,False
R1002P,R1002P,FR2,X,1,1,5,0.111,False,True,False,False
R1002P,R1002P,FR2,X,2,2,0,0.0781,False,True,False,False
