subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration
R1347D,R1347D,FR1,,2,,0.6494,1.0,1006.3076923076923,0.0,-284.8789813701923,1006.3076923076923,0.72
R1347D,R1347D,FR1,,3,,0.6407,1.0,1011.3846153846154,0.0,-289.95590444711536,1011.3846153846154,0.72
R1347D,R1347D,FR1,,4,,0.641,1.0,1003.6923076923077,0.0,-282.2635967548077,1003.6923076923077,0.72
R1347D,R1347D,catFR1,,0,,0.6358999999999999,1.0,1007.6923076923077,0.0,-286.2635967548077,1007.6923076923077,0.72
R1347D,R1347D,catFR1,,1,,0.6282,1.0,1010.4615384615385,0.0,-289.03282752403845,1010.4615384615385,0.72
R1347D,R1347D,catFR1,,2,,0.64225,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1366J,R1366J,catFR1,,0,,0.6376999999999999,1.0,1006.3076923076923,0.0,-284.8789813701923,1006.3076923076923,0.72
R1374T,R1374T,FR1,,0,,0.6381,1.0,1006.4615384615385,0.0,-285.03282752403845,1006.4615384615385,0.72
R1374T,R1374T,FR1,,1,,0.6194,1.0,1010.4615384615385,0.0,-289.03282752403845,1010.4615384615385,0.72
R1374T,R1374T,catFR1,,0,,0.6319,1.0,1006.2307692307693,0.0,-284.8020582932692,1006.2307692307693,0.72
R1374T,R1374T,catFR1,,1,,0.6355,1.0,1006.6153846153846,0.0,-285.18667367788464,1006.6153846153846,0.72
R1375C,R1375C,FR1,,0,,0.6366,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1375C,R1375C,catFR1,,1,,0.62975,1.0,1007.9230769230769,0.0,-286.4943659855769,1007.9230769230769,0.72
R1375C,R1375C,catFR1,,2,,0.6454500000000001,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1375C,R1375C,catFR1,,3,,0.6357999999999999,1.0,1007.7692307692307,0.0,-286.3405198317308,1007.7692307692307,0.72
R1375C,R1375C,catFR1,,4,,0.6148,1.0,1004.0,0.0,-282.5712890625,1004.0,0.72
R1376D,R1376D,FR1,,0,,0.6463,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72
R1376D,R1376D,catFR1,,0,,0.6248,1.0,1003.8461538461538,0.0,-282.41744290865387,1003.8461538461538,0.72
R1377M,R1377M,FR1,,0,,0.6274500000000001,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1377M,R1377M,FR1,,1,,0.6412,1.0,1006.6153846153846,0.0,-285.18667367788464,1006.6153846153846,0.72
R1377M,R1377M,FR1,,3,,0.63445,1.0,1010.0,0.0,-288.5712890625,1010.0,0.72
R1377M,R1377M,FR1,,4,,0.6333,1.0,1005.1538461538462,0.0,-283.72513521634613,1005.1538461538462,0.72
R1377M,R1377M,catFR1,,0,,0.63005,1.0,1009.0769230769231,0.0,-287.6482121394231,1009.0769230769231,0.72
R1377M,R1377M,catFR1,,6,,0.0009,1.0,1010.3846153846154,0.0,-288.95590444711536,1010.3846153846154,0.72
R1378T,R1378T,FR1,,0,,0.6368499999999999,1.0,1011.0769230769231,0.0,-289.6482121394231,1011.0769230769231,0.72
