subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl,median_beep_time,log_type
R1001P,R1001P,FR1,X,0,0,True,False,False,0.0233,log
R1001P,R1001P,FR1,X,1,1,True,False,False,0.0706,log
R1001P,R1001P,FR2,X,0,0,True,False,False,0.0345,log
R1001P,R1001P,FR2,X,1,1,True,False,False,0.05375,log
R1002P,R1002P,FR1,X,0,0,True,False,False,0.031549999999999995,log
R1002P,R1002P,FR1,X,1,1,True,False,False,0.0437,log
R1002P,R1002P,FR2,X,0,0,True,False,False,0.0576,log
R1002P,R1002P,FR2,X,1,1,True,False,False,0.07505,log
R1002P,R1002P,FR2,X,2,2,True,False,False,0.0762,log
R1003P,R1003P,FR1,X,0,-999,True,False,False,0.06384999999999999,log
R1003P,R1003P,FR1,X,1,-999,True,False,False,0.043800000000000006,log
R1003P,R1003P,FR2,X,0,0,True,False,False,0.055400000000000005,log
R1004D,R1004D,catFR1,X,0,0,True,False,False,0.027450000000000002,log
R1006P,R1006P,FR1,X,0,0,True,False,False,0.03245,log
R1006P,R1006P,FR1,X,1,1,True,False,False,0.0574,log
R1006P,R1006P_1,FR2,X,0,0,True,False,False,0.10405,log
R1006P,R1006P_1,FR2,X,1,1,True,False,False,0.0279,log
R1010J,R1010J,FR1,X,0,0,True,False,False,0.03925,log
R1010J,R1010J,FR1,X,1,1,True,False,False,0.03425,log
R1013E,R1013E_1,catFR1,X,0,0,True,False,False,0.02695,log
R1015J,R1015J,catFR1,X,0,0,True,False,False,0.06215,log
R1016M,R1016M,FR2,X,0,0,True,False,False,0.0295,log
R1016M,R1016M,catFR1,X,0,0,True,False,False,0.027049999999999998,log
R1016M,R1016M,catFR1,X,1,1,True,False,False,0.0283,log
R1016M,R1016M,catFR2,X,0,0,True,False,False,0.02985,log
R1018P,R1018P,FR1,X,0,0,True,False,False,0.03155,log
R1018P,R1018P,FR2,X,0,0,True,False,False,0.0809,log
R1018P,R1018P_1,FR2,X,1,0,True,False,False,0.0332,log
R1020J,R1020J,FR1,X,0,0,True,False,False,0.025799999999999997,log
R1021D,R1021D,catFR1,X,0,0,True,False,False,0.062,log
R1022J,R1022J,FR1,X,0,0,True,False,False,0.0254,log
R1022J,R1022J,FR2,X,0,0,True,False,False,0.02885,log
R1022J,R1022J,FR2,X,1,1,True,False,False,0.05295,log
R1023J,R1023J,FR1,X,0,0,True,False,False,0.03,log
R1023J,R1023J,FR2,X,0,0,True,False,False,0.026,log
R1023J,R1023J,FR2,X,1,1,True,False,False,0.022850000000000002,log
R1024E,R1024E_1,catFR1,X,0,0,True,False,False,0.023600000000000003,log
R1024E,R1024E_1,catFR2,X,0,0,True,False,False,0.032049999999999995,log
R1024E,R1024E_1,catFR2,X,1,1,True,False,False,0.0205,log
R1024E,R1024E_2,FR2,X,0,0,True,False,False,0.0189,log
R1026D,R1026D,FR1,X,0,0,True,False,False,0.05835,log
R1026D,R1026D,FR2,X,0,0,True,False,False,0.0409,log
R1026D,R1026D,FR2,X,1,1,True,False,False,0.027049999999999998,log
R1026D,R1026D,catFR1,X,0,0,True,False,False,0.02345,log
R1026D,R1026D,catFR2,X,0,0,True,False,False,0.0468,log
R1026D,R1026D,catFR2,X,1,1,True,False,False,0.047850000000000004,log
R1026D,R1026D,catFR2,X,2,2,True,False,False,0.0315,log
R1027J,R1027J,FR1,X,0,-999,True,False,False,0.02555,log
R1027J,R1027J,FR2,X,0,0,True,False,False,0.059550000000000006,log
R1027J,R1027J,FR2,X,1,1,True,False,False,0.0237,log
R1027J,R1027J,FR2,X,2,2,True,False,False,0.01285,log
R1028M,R1028M,FR2,X,0,0,True,False,False,0.02725,log
R1028M,R1028M,FR2,X,1,1,True,False,False,0.0279,log
R1028M,R1028M,FR2,X,2,2,True,False,False,0.04,log
R1028M,R1028M,catFR1,X,0,0,True,False,False,0.02795,log
R1028M,R1028M,catFR1,X,1,1,True,False,False,0.027,log
R1028M,R1028M,catFR2,X,0,0,True,False,False,0.029249999999999998,log
R1029W,R1029W,catFR2,X,0,0,True,False,False,0.032100000000000004,log
R1029W,R1029W,catFR2,X,1,1,True,False,False,0.0242,log
R1030J,R1030J,FR1,X,0,0,True,False,False,0.02275,log
R1030J,R1030J,FR2,X,0,0,True,False,False,0.02095,log
R1030J,R1030J,FR2,X,1,1,True,False,False,0.033,log
R1030J,R1030J,FR2,X,2,2,True,False,False,0.0366,log
R1030J,R1030J,FR2,X,3,3,True,False,False,0.03995,log
R1030J,R1030J,FR2,X,4,4,True,False,False,0.0412,log
R1030J,R1030J,FR2,X,5,5,True,False,False,0.04995,log
R1030J,R1030J,FR2,X,6,6,True,False,False,0.0354,log
R1031M,R1031M,FR1,X,0,0,True,False,False,0.022350000000000002,log
R1031M,R1031M,FR2,X,0,0,True,False,False,0.03025,log
R1031M,R1031M,catFR1,X,0,0,True,False,False,0.02365,log
R1031M,R1031M,catFR2,X,0,0,True,False,False,0.02515,log
R1032D,R1032D,FR1,X,0,0,True,False,False,0.0284,log
R1032D,R1032D,catFR1,X,0,0,True,False,False,0.034,log
R1032D,R1032D,catFR1,X,1,1,True,False,False,0.038599999999999995,log
R1033D,R1033D,FR1,X,0,-999,True,False,False,0.0602,log
R1033D,R1033D,FR2,X,0,0,True,False,False,0.02975,log
R1033D,R1033D,FR2,X,1,1,True,False,False,0.03115,log
R1033D,R1033D,FR2,X,2,2,True,False,False,0.039,log
R1034D,R1034D,FR1,X,0,-999,True,False,False,0.0368,log
R1034D,R1034D,FR1,X,1,-999,True,False,False,0.08235,log
R1034D,R1034D,FR1,X,2,-999,True,False,False,0.03295,log
R1035M,R1035M,FR1,X,0,-999,True,False,False,0.0291,log
R1035M,R1035M,FR2,X,0,0,True,False,False,0.02365,log
R1035M,R1035M,catFR1,X,0,0,True,False,False,0.02615,log
R1036M,R1036M,FR1,X,0,0,True,False,False,0.0282,log
R1036M,R1036M,FR2,X,0,0,True,False,False,0.02735,log
R1036M,R1036M,catFR1,X,0,0,True,False,False,0.0299,log
R1036M,R1036M,catFR2,X,0,0,True,False,False,0.02985,log
R1036M,R1036M,catFR2,X,1,1,True,False,False,0.02805,log
R1036M,R1036M,catFR2,X,2,2,True,False,False,0.03015,log
R1039M,R1039M,catFR2,X,0,0,True,False,False,0.02765,log
R1041M,R1041M,catFR1,X,0,0,True,False,False,0.030350000000000002,log
R1041M,R1041M,catFR2,X,0,0,True,False,False,0.029449999999999997,log
R1042M,R1042M,FR1,X,0,0,True,False,False,0.02995,log
R1042M,R1042M,FR2,X,0,0,True,False,False,0.039349999999999996,log
R1042M,R1042M,catFR1,X,0,0,True,False,False,0.0264,log
R1042M,R1042M,catFR2,X,0,0,True,False,False,0.02605,log
R1044J,R1044J,FR1,X,0,0,True,False,False,0.045149999999999996,log
R1045E,R1045E,FR1,X,0,0,True,False,False,0.022,log
R1045E,R1045E,catFR1,X,0,0,True,False,False,0.02015,log
R1045E,R1045E,catFR1,X,1,1,True,False,False,0.0289,log
R1048E,R1048E,FR1,X,0,0,True,False,False,0.0264,log
R1048E,R1048E_1,FR2,X,0,0,True,False,False,0.0218,log
R1049J,R1049J,FR1,X,0,-999,True,False,False,0.027450000000000002,log
R1050M,R1050M,FR1,X,0,0,True,False,False,0.027,log
R1050M,R1050M,FR2,X,0,0,True,False,False,0.033299999999999996,log
R1050M,R1050M,catFR1,X,0,0,True,False,False,0.02375,log
R1050M,R1050M,catFR2,X,0,0,True,False,False,0.0513,log
R1051J,R1051J,FR1,X,0,0,True,False,False,0.0291,log
R1051J,R1051J,FR1,X,1,1,True,False,False,0.0363,log
R1051J,R1051J,FR1,X,2,2,True,False,False,0.032850000000000004,log
R1052E,R1052E_1,FR1,X,0,0,True,False,False,0.03905,log
R1052E,R1052E_1,FR1,X,1,1,True,False,False,0.041550000000000004,log
R1052E,R1052E_1,FR2,X,0,0,True,False,False,0.0238,log
R1053M,R1053M,FR1,X,0,0,True,False,False,0.02685,log
