subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration,offset_ms
R1379E,R1379E,FR1,,0,,0.25229999999999997,1.0,1005.2307692307693,0.0,-283.8020582932692,1005.2307692307693,0.72,500.0
R1379E,R1379E,FR1,,1,,0.244,1.0,1006.2307692307693,0.0,-284.8020582932692,1006.2307692307693,0.72,500.0
R1379E,R1379E,catFR1,,0,,0.24559999999999998,1.0,1005.2307692307693,0.0,-283.8020582932692,1005.2307692307693,0.72,500.0
R1379E,R1379E,catFR1,,1,,0.23575,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72,500.0
R1385E,R1385E,FR1,,1,,0.2336,1.0,1008.9230769230769,0.0,-287.4943659855769,1008.9230769230769,0.72,500.0
R1385E,R1385E,FR1,,2,,0.23495,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72,500.0
R1385E,R1385E,FR1,,3,,0.23620000000000002,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72,500.0
R1385E,R1385E,catFR1,,0,,0.23515,1.0,1010.2307692307693,0.0,-288.8020582932692,1010.2307692307693,0.72,500.0
R1385E,R1385E,catFR1,,1,,0.2294,1.0,1009.0,0.0,-287.5712890625,1009.0,0.72,500.0
R1387E,R1387E,FR1,,0,,0.2247,1.0,1007.9230769230769,0.0,-286.4943659855769,1007.9230769230769,0.72,500.0
R1387E,R1387E,FR1,,1,,0.23545,1.0,1009.6666666666666,0.0,-288.2379557291667,1009.6666666666666,0.72,500.0
R1387E,R1387E,FR1,,2,,0.2395,1.0,1009.0769230769231,0.0,-287.6482121394231,1009.0769230769231,0.72,500.0
R1387E,R1387E,catFR1,,0,,0.23245,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72,500.0
R1387E,R1387E,catFR1,,1,,0.2472,1.0,1005.3076923076923,0.0,-283.8789813701923,1005.3076923076923,0.72,500.0
R1394E,R1394E,FR1,,0,,0.24145,1.0,1008.0,0.0,-286.5712890625,1008.0,0.72,500.0
R1394E,R1394E_1,FR1,,1,1.0,0.24365,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72,500.0
R1394E,R1394E_1,catFR1,,1,1.0,0.23970000000000002,1.0,1004.0,0.0,-282.5712890625,1004.0,0.72,500.0
R1394E,R1394E_1,catFR1,,2,2.0,0.24705,1.0,1003.8461538461538,0.0,-282.41744290865387,1003.8461538461538,0.72,500.0
R1402E,R1402E,FR1,,0,,0.2405,1.0,1005.3076923076923,0.0,-283.8789813701923,1005.3076923076923,0.72,500.0
R1404E,R1404E,catFR1,,0,,0.2476,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72,500.0
