subject,subject_alias,experiment,original_experiment,session,original_session,offset_ms
R1377M,R1377M,catFR1,,6,,1000.0
R1384J,R1384J,FR6,,1,,1000.0
R1384J,R1384J,PS5_catFR,PS5_CatFR,0,0.0,1000.0
R1384J,R1384J,catFR6,,0,,1000.0
R1384J,R1384J,catFR6,,1,,1000.0
R1389J,R1389J,catFR1,,0,,1000.0
R1389J,R1389J,catFR1,,1,,1000.0
R1389J,R1389J,catFR1,,2,,1000.0
R1389J,R1389J,catFR1,,3,,1000.0
R1395M,R1395M,FR1,,1,,1000.0
R1395M,R1395M,FR1,,2,,1000.0
R1395M,R1395M,FR1,,3,,1000.0
R1395M,R1395M,FR1,,4,,1000.0
R1395M,R1395M,FR1,,5,,1000.0
R1395M,R1395M,catFR1,,0,,1000.0
R1395M,R1395M,catFR1,,1,,1000.0
R1395M,R1395M,catFR1,,2,,1000.0
R1395M,R1395M,catFR1,,3,,1000.0
R1395M,R1395M,catFR1,,4,,1000.0
R1395M,R1395M,catFR1,,5,,1000.0
R1395M,R1395M,catFR1,,6,,1000.0
R1396T,R1396T,FR1,,1,,1000.0
R1396T,R1396T,catFR1,,0,,1000.0
R1397D,R1397D,FR1,,0,,1000.0
R1397D,R1397D,FR1,,1,,1000.0
R1397D,R1397D,FR6,,0,,1000.0
R1397D,R1397D,catFR1,,1,,1000.0
R1397D,R1397D,catFR1,,3,,1000.0
R1398J,R1398J,FR1,,1,,1000.0
R1398J,R1398J,FR1,,3,,1000.0
R1398J,R1398J,catFR1,,0,,1000.0
R1398J,R1398J,catFR1,,1,,1000.0
R1400N,R1400N,catFR1,CatFR1,0,,1000.0
R1400N,R1400N,catFR1,CatFR1,1,,1000.0
R1400N,R1400N,catFR1,CatFR1,2,,1000.0
R1400N,R1400N,catFR1,CatFR1,3,,1000.0
R1400N,R1400N,catFR6,CatFR6,2,,1000.0
R1400N,R1400N,catFR6,CatFR6,3,,1000.0
R1400N,R1400N,catFR6,CatFR6,7,,1000.0
R1400N,R1400N,catFR6,CatFR6,8,,1000.0
R1401J,R1401J,FR1,,0,,1000.0
R1401J,R1401J,catFR1,,0,,1000.0
R1401J,R1401J,catFR1,,1,,1000.0
R1401J,R1401J,catFR1,,2,,1000.0
R1403N,R1403N,catFR1,CatFR1,0,,1000.0
R1403N,R1403N,catFR1,CatFR1,1,,1000.0
R1403N,R1403N,catFR1,CatFR1,2,,1000.0
R1403N,R1403N,catFR1,CatFR1,4,,1000.0
R1403N,R1403N,catFR6,CatFR6,0,,1000.0
R1404E,R1404E,FR1,,0,,1000.0
R1404E,R1404E,FR1,,1,,1000.0
R1404E,R1404E,catFR1,,1,,1000.0
R1404E,R1404E,catFR6,CatFR6,0,,1000.0
R1405E,R1405E,FR1,,0,,1000.0
R1405E,R1405E,catFR1,,0,,1000.0
R1405E,R1405E,catFR1,,1,,1000.0
R1405E,R1405E_1,FR1,,1,,1000.0
R1405E,R1405E_1,catFR1,,2,,1000.0
R1406M,R1406M,FR1,,3,,1000.0
R1406M,R1406M,FR1,,4,,1000.0
R1406M,R1406M,catFR1,,1,,1000.0
R1406M,R1406M,catFR1,,2,,1000.0
R1406M,R1406M,catFR1,,3,,1000.0
R1408N,R1408N,catFR1,CatFR1,0,,1000.0
R1408N,R1408N,catFR1,CatFR1,1,,1000.0
R1409D,R1409D,FR1,,1,,1000.0
R1409D,R1409D,FR1,,2,,1000.0
R1409D,R1409D,FR6,,0,,1000.0
R1409D,R1409D,FR6,,2,,1000.0
R1409D,R1409D,FR6,,3,,1000.0
R1409D,R1409D,FR6,,9,,1000.0
R1409D,R1409D,catFR1,,1,,1000.0
R1409D,R1409D,catFR1,,2,,1000.0
R1409D,R1409D,catFR1,,3,,1000.0
R1409D,R1409D,catFR6,,0,,1000.0
R1412M,R1412M,FR1,,1,,1000.0
R1412M,R1412M,catFR1,,0,,1000.0
R1412M,R1412M,catFR1,,1,,1000.0
R1412M,R1412M,catFR1,,2,,1000.0
R1414E,R1414E,FR1,,0,,1000.0
R1414E,R1414E,catFR1,,0,,1000.0
R1415T,R1415T,FR1,,1,,1000.0
R1415T,R1415T,catFR1,,0,,1000.0
R1416T,R1416T,FR1,,0,,1000.0
R1416T,R1416T,FR1,,1,,1000.0
R1420T,R1420T,FR1,,0,,1000.0
R1420T,R1420T,FR1,,1,,1000.0
R1420T,R1420T,catFR1,,0,,1000.0
R1421M,R1421M,FR1,,0,,1000.0
R1421M,R1421M,catFR1,,0,,1000.0
R1421M,R1421M,catFR1,,1,,1000.0
R1422T,R1422T,catFR1,,0,,1000.0
R1423E,R1423E,FR1,,0,,1000.0
R1423E,R1423E,catFR1,,0,,1000.0
R1425D,R1425D,TICL_FR,,0,,1000.0
R1425D,R1425D,TICL_FR,,3,,1000.0
R1425D,R1425D,TICL_FR,,7,,1000.0
R1426N,R1426N,catFR1,,0,,1000.0
R1426N,R1426N,catFR1,,1,,1000.0
R1427T,R1427T,FR1,,0,,1000.0
R1427T,R1427T,FR1,,1,,1000.0
R1427T,R1427T,FR1,,2,,1000.0
R1427T,R1427T,TICL_FR,,0,,1000.0
R1427T,R1427T,catFR1,,0,,1000.0
R1428T,R1428T,FR1,,0,,1000.0
R1431J,R1431J,FR1,,0,,1000.0
R1433E,R1433E,FR1,,0,,1000.0
