subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1001P,R1001P,FR1,,0,0,1,0,0
R1001P,R1001P,FR1,,1,1,1,0,0
R1001P,R1001P,FR2,,0,0,1,0,0
R1001P,R1001P,FR2,,1,1,1,0,0
R1001P,R1001P,PAL1,,0,0,1,0,0
R1001P,R1001P,PAL1,,1,1,1,0,0
R1001P,R1001P,YC1,,0,0,0,0,0
R1001P,R1001P,YC1,,1,1,0,0,0
R1001P,R1001P,YC1,,2,2,0,0,0
R1002P,R1002P,FR1,,0,0,1,0,0
R1002P,R1002P,FR1,,1,1,1,0,0
R1002P,R1002P,FR2,,0,0,1,0,0
R1002P,R1002P,FR2,,1,1,1,0,0
R1002P,R1002P,FR2,,2,2,1,0,0
R1002P,R1002P,PAL1,,0,0,1,0,0
R1002P,R1002P,PAL1,,1,1,1,0,0
R1002P,R1002P,PAL1,,2,2,1,0,0
R1003P,R1003P,FR1,,0,,1,0,0
R1003P,R1003P,FR1,,1,,1,0,0
R1003P,R1003P,FR2,,0,0,1,0,0
R1003P,R1003P,PAL1,,0,0,1,0,0
R1003P,R1003P,PAL1,,1,1,1,0,0
R1003P,R1003P,PAL2,,0,0,1,0,0
R1003P,R1003P,PAL2,,1,1,1,0,0
R1004D,R1004D,catFR1,,0,0,1,0,0
R1006P,R1006P,FR1,,0,0,1,0,0
R1006P,R1006P,FR1,,1,1,1,0,0
R1006P,R1006P_1,FR2,,0,0,1,0,0
R1006P,R1006P_1,FR2,,1,1,1,0,0
R1006P,R1006P,YC1,,0,0,0,0,0
R1006P,R1006P,YC1,,1,1,0,0,0
R1006P,R1006P,YC1,,2,2,0,0,0
R1006P,R1006P,YC2,,0,0,0,0,0
R1006P,R1006P,YC2,,1,1,0,0,0
R1006P,R1006P_1,YC2,,2,0,0,0,0
R1008J,R1008J,YC1,,0,0,0,0,0
R1009W,R1009W,YC1,,0,0,0,0,0
R1010J,R1010J,FR1,,0,0,1,0,0
R1010J,R1010J,FR1,,1,1,1,0,0
R1010J,R1010J,YC1,,0,0,0,0,0
R1010J,R1010J,YC1,,1,1,0,0,0
R1013E,R1013E,YC1,,0,0,0,0,0
R1013E,R1013E_1,YC1,,1,0,0,0,0
R1013E,R1013E_1,YC2,,0,0,0,0,0
R1013E,R1013E_1,YC2,,1,1,0,0,0
R1013E,R1013E_1,catFR1,,0,0,1,0,0
R1014D,R1014D,YC1,,0,0,0,0,0
R1014D,R1014D,YC1,,1,1,0,0,0
R1015J,R1015J,FR1,,0,0,1,0,0
R1015J,R1015J,YC1,,0,0,0,0,0
R1015J,R1015J,YC1,,1,1,0,0,0
R1015J,R1015J,YC2,,0,0,0,0,0
R1015J,R1015J,YC2,,1,1,0,0,0
R1015J,R1015J,YC2,,2,2,0,0,0
R1015J,R1015J,YC2,,3,3,0,0,0
R1015J,R1015J,YC2,,4,4,0,0,0
R1015J,R1015J,YC2,,5,5,0,0,0
R1015J,R1015J,YC2,,6,6,0,0,0
R1015J,R1015J,catFR1,,0,0,1,0,0
R1016M,R1016M,FR2,,0,0,1,0,0
R1016M,R1016M,PAL1,,0,0,1,0,0
R1016M,R1016M,PAL2,,0,0,1,0,0
R1016M,R1016M,PAL2,,1,1,1,0,0
R1016M,R1016M,PAL2,,2,2,1,0,0
R1016M,R1016M,catFR1,,0,0,1,0,0
R1016M,R1016M,catFR1,,1,1,1,0,0
R1016M,R1016M,catFR2,,0,0,1,0,0
R1017J,R1017J,YC2,,0,0,0,0,0
R1018P,R1018P,FR1,,0,0,1,0,0
R1018P,R1018P,FR2,,0,0,1,0,0
R1018P,R1018P_1,FR2,,1,0,1,0,0
R1018P,R1018P_1,PAL1,,0,0,1,0,0
R1018P,R1018P,YC1,,0,0,0,0,0
R1019J,R1019J,YC1,,0,0,0,0,0
R1019J,R1019J,YC1,,1,1,0,0,0
R1019J,R1019J,YC1,,2,2,0,0,0
R1019J,R1019J,YC2,,0,0,0,0,0
R1019J,R1019J,YC2,,1,1,0,0,0
R1019J,R1019J,YC2,,2,2,0,0,0
R1019J,R1019J,YC2,,3,3,0,0,0
R1019J,R1019J,YC2,,4,4,0,0,0
