Recognition,all_events,contacts,experiment,import_type,localization,math_events,montage,original_experiment,original_session,pairs,ps4_events,session,subject,subject_alias,system_version,task_events
,protocols/r1/subjects/R1001P/experiments/FR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1001P/experiments/FR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/FR1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1001P/experiments/FR1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1001P/experiments/FR1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/FR1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1001P/experiments/FR2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1001P/experiments/FR2/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/FR2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1001P/experiments/FR2/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1001P/experiments/FR2/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/FR2/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1001P/experiments/PAL1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1001P/experiments/PAL1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/PAL1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1001P/experiments/PAL1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1001P/experiments/PAL1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/PAL1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,1,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/YC1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,2,protocols/r1/subjects/R1001P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,2,R1001P,R1001P,,protocols/r1/subjects/R1001P/experiments/YC1/sessions/2/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/FR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1002P/experiments/FR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/FR1/sessions/0/behavioral/current_processed/task_events.json
